X,Y,Type,Fire,Time
1,1, TerrainType.Field, False,0
1,2, TerrainType.Field, False,0
1,3, TerrainType.Field, False,0
1,4, TerrainType.Field, False,0
1,5, TerrainType.Field, False,0
1,6, TerrainType.Field, False,0
1,7, TerrainType.Field, False,0
1,8, TerrainType.Field, False,0
1,9, TerrainType.Field, False,0
1,10, TerrainType.Field, False,0
1,11, TerrainType.Field, False,0
1,12, TerrainType.Field, False,0
1,13, TerrainType.Field, False,0
1,14, TerrainType.Field, False,0
1,15, TerrainType.Field, False,0
1,16, TerrainType.Field, False,0
1,17, TerrainType.Field, False,0
1,18, TerrainType.Field, False,0
1,19, TerrainType.Field, False,0
1,20, TerrainType.Field, False,0
1,21, TerrainType.Field, False,0
1,22, TerrainType.Field, False,0
1,23, TerrainType.Field, False,0
1,24, TerrainType.Field, False,0
1,25, TerrainType.Field, False,0
1,26, TerrainType.Field, False,0
1,27, TerrainType.Field, False,0
1,28, TerrainType.Field, False,0
1,29, TerrainType.Field, False,0
1,30, TerrainType.Field, False,0
2,1, TerrainType.Field, False,0
2,2, TerrainType.Field, False,0
2,3, TerrainType.Field, False,0
2,4, TerrainType.Forest, False,0
2,5, TerrainType.Forest, False,0
2,6, TerrainType.Forest, False,0
2,7, TerrainType.Forest, False,0
2,8, TerrainType.Forest, False,0
2,9, TerrainType.Forest, False,0
2,10, TerrainType.Forest, False,0
2,11, TerrainType.Forest, False,0
2,12, TerrainType.Forest, False,0
2,13, TerrainType.Forest, False,0
2,14, TerrainType.Field, False,0
2,15, TerrainType.Field, False,0
2,16, TerrainType.Field, False,0
2,17, TerrainType.Field, False,0
2,18, TerrainType.Field, False,0
2,19, TerrainType.Field, False,0
2,20, TerrainType.Field, False,0
2,21, TerrainType.Field, False,0
2,22, TerrainType.Field, False,0
2,23, TerrainType.Field, False,0
2,24, TerrainType.Field, False,0
2,25, TerrainType.Field, False,0
2,26, TerrainType.Field, False,0
2,27, TerrainType.Field, False,0
2,28, TerrainType.Field, False,0
2,29, TerrainType.Field, False,0
2,30, TerrainType.Field, False,0
3,1, TerrainType.Field, False,0
3,2, TerrainType.Field, False,0
3,3, TerrainType.Field, False,0
3,4, TerrainType.Forest, False,0
3,5, TerrainType.Forest, False,0
3,6, TerrainType.Forest, False,0
3,7, TerrainType.Forest, False,0
3,8, TerrainType.Forest, False,0
3,9, TerrainType.Forest, False,0
3,10, TerrainType.Forest, False,0
3,11, TerrainType.Forest, False,0
3,12, TerrainType.Forest, False,0
3,13, TerrainType.Forest, False,0
3,14, TerrainType.Forest, False,0
3,15, TerrainType.Field, False,0
3,16, TerrainType.Field, False,0
3,17, TerrainType.Field, False,0
3,18, TerrainType.Field, False,0
3,19, TerrainType.Field, False,0
3,20, TerrainType.Field, False,0
3,21, TerrainType.Field, False,0
3,22, TerrainType.Field, False,0
3,23, TerrainType.Field, False,0
3,24, TerrainType.Field, False,0
3,25, TerrainType.Field, False,0
3,26, TerrainType.Field, False,0
3,27, TerrainType.Field, False,0
3,28, TerrainType.Field, False,0
3,29, TerrainType.Field, False,0
3,30, TerrainType.Field, False,0
4,1, TerrainType.Field, False,0
4,2, TerrainType.Field, False,0
4,3, TerrainType.Forest, False,0
4,4, TerrainType.Forest, False,0
4,5, TerrainType.Forest, False,0
4,6, TerrainType.Forest, False,0
4,7, TerrainType.Forest, False,0
4,8, TerrainType.Forest, False,0
4,9, TerrainType.Forest, False,0
4,10, TerrainType.Forest, False,0
4,11, TerrainType.Forest, False,0
4,12, TerrainType.Forest, False,0
4,13, TerrainType.Forest, False,0
4,14, TerrainType.Field, False,0
4,15, TerrainType.Field, False,0
4,16, TerrainType.Field, False,0
4,17, TerrainType.Field, False,0
4,18, TerrainType.Field, False,0
4,19, TerrainType.Field, False,0
4,20, TerrainType.Field, False,0
4,21, TerrainType.Field, False,0
4,22, TerrainType.Field, False,0
4,23, TerrainType.Field, False,0
4,24, TerrainType.Field, False,0
4,25, TerrainType.Field, False,0
4,26, TerrainType.Field, False,0
4,27, TerrainType.Field, False,0
4,28, TerrainType.Field, False,0
4,29, TerrainType.Field, False,0
4,30, TerrainType.Field, False,0
5,1, TerrainType.Field, False,0
5,2, TerrainType.Field, False,0
5,3, TerrainType.Forest, False,0
5,4, TerrainType.Forest, False,0
5,5, TerrainType.Forest, False,0
5,6, TerrainType.Forest, False,0
5,7, TerrainType.Forest, False,0
5,8, TerrainType.Forest, False,0
5,9, TerrainType.Field, False,0
5,10, TerrainType.Forest, False,0
5,11, TerrainType.Forest, False,0
5,12, TerrainType.Forest, False,0
5,13, TerrainType.Field, False,0
5,14, TerrainType.Field, False,0
5,15, TerrainType.Field, False,0
5,16, TerrainType.Field, False,0
5,17, TerrainType.Field, False,0
5,18, TerrainType.Field, False,0
5,19, TerrainType.Field, False,0
5,20, TerrainType.Field, False,0
5,21, TerrainType.Field, False,0
5,22, TerrainType.Field, False,0
5,23, TerrainType.Field, False,0
5,24, TerrainType.Field, False,0
5,25, TerrainType.Field, False,0
5,26, TerrainType.Field, False,0
5,27, TerrainType.Field, False,0
5,28, TerrainType.Field, False,0
5,29, TerrainType.Field, False,0
5,30, TerrainType.Field, False,0
6,1, TerrainType.Field, False,0
6,2, TerrainType.Field, False,0
6,3, TerrainType.Field, False,0
6,4, TerrainType.Forest, False,0
6,5, TerrainType.Forest, False,0
6,6, TerrainType.Forest, False,0
6,7, TerrainType.Forest, False,0
6,8, TerrainType.Field, False,0
6,9, TerrainType.Field, False,0
6,10, TerrainType.Field, False,0
6,11, TerrainType.Forest, False,0
6,12, TerrainType.Field, False,0
6,13, TerrainType.Field, False,0
6,14, TerrainType.Field, False,0
6,15, TerrainType.Field, False,0
6,16, TerrainType.Field, False,0
6,17, TerrainType.Field, False,0
6,18, TerrainType.Field, False,0
6,19, TerrainType.Field, False,0
6,20, TerrainType.Field, False,0
6,21, TerrainType.Field, False,0
6,22, TerrainType.Field, False,0
6,23, TerrainType.Field, False,0
6,24, TerrainType.Forest, False,0
6,25, TerrainType.Forest, False,0
6,26, TerrainType.Forest, False,0
6,27, TerrainType.Field, False,0
6,28, TerrainType.Field, False,0
6,29, TerrainType.Field, False,0
6,30, TerrainType.Field, False,0
7,1, TerrainType.Field, False,0
7,2, TerrainType.Field, False,0
7,3, TerrainType.Field, False,0
7,4, TerrainType.Field, False,0
7,5, TerrainType.Forest, False,0
7,6, TerrainType.Field, False,0
7,7, TerrainType.Field, False,0
7,8, TerrainType.Field, False,0
7,9, TerrainType.Field, False,0
7,10, TerrainType.Field, False,0
7,11, TerrainType.Field, False,0
7,12, TerrainType.Field, False,0
7,13, TerrainType.Field, False,0
7,14, TerrainType.Field, False,0
7,15, TerrainType.Field, False,0
7,16, TerrainType.Field, False,0
7,17, TerrainType.Field, False,0
7,18, TerrainType.Field, False,0
7,19, TerrainType.Field, False,0
7,20, TerrainType.Field, False,0
7,21, TerrainType.Field, False,0
7,22, TerrainType.Field, False,0
7,23, TerrainType.Forest, False,0
7,24, TerrainType.Forest, False,0
7,25, TerrainType.Forest, False,0
7,26, TerrainType.Forest, False,0
7,27, TerrainType.Forest, False,0
7,28, TerrainType.Field, False,0
7,29, TerrainType.Field, False,0
7,30, TerrainType.Field, False,0
8,1, TerrainType.Field, False,0
8,2, TerrainType.Field, False,0
8,3, TerrainType.Forest, False,0
8,4, TerrainType.Field, False,0
8,5, TerrainType.Field, False,0
8,6, TerrainType.Field, False,0
8,7, TerrainType.Field, False,0
8,8, TerrainType.Field, False,0
8,9, TerrainType.Field, False,0
8,10, TerrainType.Field, False,0
8,11, TerrainType.Field, False,0
8,12, TerrainType.Field, False,0
8,13, TerrainType.Field, False,0
8,14, TerrainType.Field, False,0
8,15, TerrainType.Field, False,0
8,16, TerrainType.Field, False,0
8,17, TerrainType.Field, False,0
8,18, TerrainType.Field, False,0
8,19, TerrainType.Field, False,0
8,20, TerrainType.Field, False,0
8,21, TerrainType.Field, False,0
8,22, TerrainType.Forest, False,0
8,23, TerrainType.Forest, False,0
8,24, TerrainType.Forest, False,0
8,25, TerrainType.Forest, False,0
8,26, TerrainType.Forest, False,0
8,27, TerrainType.Forest, False,0
8,28, TerrainType.Forest, False,0
8,29, TerrainType.Field, False,0
8,30, TerrainType.Field, False,0
9,1, TerrainType.Field, False,0
9,2, TerrainType.Field, False,0
9,3, TerrainType.Forest, False,0
9,4, TerrainType.Field, False,0
9,5, TerrainType.Field, False,0
9,6, TerrainType.Field, False,0
9,7, TerrainType.Field, False,0
9,8, TerrainType.Field, False,0
9,9, TerrainType.Field, False,0
9,10, TerrainType.Field, False,0
9,11, TerrainType.Field, False,0
9,12, TerrainType.Field, False,0
9,13, TerrainType.Field, False,0
9,14, TerrainType.Field, False,0
9,15, TerrainType.Field, False,0
9,16, TerrainType.Field, False,0
9,17, TerrainType.Field, False,0
9,18, TerrainType.Field, False,0
9,19, TerrainType.Field, False,0
9,20, TerrainType.Field, False,0
9,21, TerrainType.Field, False,0
9,22, TerrainType.Forest, False,0
9,23, TerrainType.Forest, False,0
9,24, TerrainType.Forest, False,0
9,25, TerrainType.Forest, False,0
9,26, TerrainType.Forest, False,0
9,27, TerrainType.Forest, False,0
9,28, TerrainType.Field, False,0
9,29, TerrainType.Field, False,0
9,30, TerrainType.Field, False,0
10,1, TerrainType.Field, False,0
10,2, TerrainType.Forest, False,0
10,3, TerrainType.Forest, False,0
10,4, TerrainType.Forest, False,0
10,5, TerrainType.Forest, False,0
10,6, TerrainType.Field, False,0
10,7, TerrainType.Field, False,0
10,8, TerrainType.Field, False,0
10,9, TerrainType.Field, False,0
10,10, TerrainType.Field, False,0
10,11, TerrainType.Field, False,0
10,12, TerrainType.Field, False,0
10,13, TerrainType.Field, False,0
10,14, TerrainType.Field, False,0
10,15, TerrainType.Field, False,0
10,16, TerrainType.Field, False,0
10,17, TerrainType.Field, False,0
10,18, TerrainType.Field, False,0
10,19, TerrainType.Field, False,0
10,20, TerrainType.Field, False,0
10,21, TerrainType.Field, False,0
10,22, TerrainType.Field, False,0
10,23, TerrainType.Forest, False,0
10,24, TerrainType.Forest, False,0
10,25, TerrainType.Forest, False,0
10,26, TerrainType.Field, False,0
10,27, TerrainType.Forest, False,0
10,28, TerrainType.Field, False,0
10,29, TerrainType.Field, False,0
10,30, TerrainType.Field, False,0
11,1, TerrainType.Field, False,0
11,2, TerrainType.Forest, False,0
11,3, TerrainType.Forest, False,0
11,4, TerrainType.Forest, False,0
11,5, TerrainType.Forest, False,0
11,6, TerrainType.Field, False,0
11,7, TerrainType.Field, False,0
11,8, TerrainType.Field, False,0
11,9, TerrainType.Field, False,0
11,10, TerrainType.Field, False,0
11,11, TerrainType.Field, False,0
11,12, TerrainType.Field, False,0
11,13, TerrainType.Field, False,0
11,14, TerrainType.Field, False,0
11,15, TerrainType.Field, False,0
11,16, TerrainType.Field, False,0
11,17, TerrainType.Field, False,0
11,18, TerrainType.Field, False,0
11,19, TerrainType.Field, False,0
11,20, TerrainType.Field, False,0
11,21, TerrainType.Field, False,0
11,22, TerrainType.Field, False,0
11,23, TerrainType.Field, False,0
11,24, TerrainType.Field, False,0
11,25, TerrainType.Field, False,0
11,26, TerrainType.Field, False,0
11,27, TerrainType.Field, False,0
11,28, TerrainType.Field, False,0
11,29, TerrainType.Field, False,0
11,30, TerrainType.Field, False,0
12,1, TerrainType.Field, False,0
12,2, TerrainType.Forest, False,0
12,3, TerrainType.Forest, False,0
12,4, TerrainType.Forest, False,0
12,5, TerrainType.Forest, False,0
12,6, TerrainType.Forest, False,0
12,7, TerrainType.Field, False,0
12,8, TerrainType.Field, False,0
12,9, TerrainType.Field, False,0
12,10, TerrainType.Field, False,0
12,11, TerrainType.Field, False,0
12,12, TerrainType.Field, False,0
12,13, TerrainType.Field, False,0
12,14, TerrainType.Field, False,0
12,15, TerrainType.Field, False,0
12,16, TerrainType.Field, False,0
12,17, TerrainType.Field, False,0
12,18, TerrainType.Field, False,0
12,19, TerrainType.Field, False,0
12,20, TerrainType.Field, False,0
12,21, TerrainType.Field, False,0
12,22, TerrainType.Field, False,0
12,23, TerrainType.Field, False,0
12,24, TerrainType.Field, False,0
12,25, TerrainType.Field, False,0
12,26, TerrainType.Field, False,0
12,27, TerrainType.Field, False,0
12,28, TerrainType.Field, False,0
12,29, TerrainType.Field, False,0
12,30, TerrainType.Field, False,0
13,1, TerrainType.Field, False,0
13,2, TerrainType.Forest, False,0
13,3, TerrainType.Forest, False,0
13,4, TerrainType.Forest, False,0
13,5, TerrainType.Forest, False,0
13,6, TerrainType.Field, False,0
13,7, TerrainType.Field, False,0
13,8, TerrainType.Field, False,0
13,9, TerrainType.Field, False,0
13,10, TerrainType.Field, False,0
13,11, TerrainType.Field, False,0
13,12, TerrainType.Field, False,0
13,13, TerrainType.Field, False,0
13,14, TerrainType.Field, False,0
13,15, TerrainType.Field, False,0
13,16, TerrainType.Field, False,0
13,17, TerrainType.Field, False,0
13,18, TerrainType.Field, False,0
13,19, TerrainType.Field, False,0
13,20, TerrainType.Field, False,0
13,21, TerrainType.Field, False,0
13,22, TerrainType.Field, False,0
13,23, TerrainType.Field, False,0
13,24, TerrainType.Field, False,0
13,25, TerrainType.Field, False,0
13,26, TerrainType.Field, False,0
13,27, TerrainType.Field, False,0
13,28, TerrainType.Field, False,0
13,29, TerrainType.Field, False,0
13,30, TerrainType.Field, False,0
14,1, TerrainType.Field, False,0
14,2, TerrainType.Forest, False,0
14,3, TerrainType.Forest, False,0
14,4, TerrainType.Forest, False,0
14,5, TerrainType.Forest, False,0
14,6, TerrainType.Field, False,0
14,7, TerrainType.Field, False,0
14,8, TerrainType.Field, False,0
14,9, TerrainType.Field, False,0
14,10, TerrainType.Field, False,0
14,11, TerrainType.Field, False,0
14,12, TerrainType.Field, False,0
14,13, TerrainType.Field, False,0
14,14, TerrainType.Field, False,0
14,15, TerrainType.Field, False,0
14,16, TerrainType.Field, False,0
14,17, TerrainType.Field, False,0
14,18, TerrainType.Field, False,0
14,19, TerrainType.Field, False,0
14,20, TerrainType.Field, False,0
14,21, TerrainType.Field, False,0
14,22, TerrainType.Field, False,0
14,23, TerrainType.Field, False,0
14,24, TerrainType.Field, False,0
14,25, TerrainType.Field, False,0
14,26, TerrainType.Field, False,0
14,27, TerrainType.Field, False,0
14,28, TerrainType.Field, False,0
14,29, TerrainType.Field, False,0
14,30, TerrainType.River, False,0
15,1, TerrainType.Field, False,0
15,2, TerrainType.Field, False,0
15,3, TerrainType.Forest, False,0
15,4, TerrainType.Forest, False,0
15,5, TerrainType.Field, False,0
15,6, TerrainType.Field, False,0
15,7, TerrainType.Field, False,0
15,8, TerrainType.Field, False,0
15,9, TerrainType.Field, False,0
15,10, TerrainType.Field, False,0
15,11, TerrainType.Field, False,0
15,12, TerrainType.Field, False,0
15,13, TerrainType.Field, False,0
15,14, TerrainType.Field, False,0
15,15, TerrainType.Field, False,0
15,16, TerrainType.Field, False,0
15,17, TerrainType.Field, False,0
15,18, TerrainType.Field, False,0
15,19, TerrainType.Field, False,0
15,20, TerrainType.Field, False,0
15,21, TerrainType.Field, False,0
15,22, TerrainType.Field, False,0
15,23, TerrainType.Field, False,0
15,24, TerrainType.Field, False,0
15,25, TerrainType.Field, False,0
15,26, TerrainType.Field, False,0
15,27, TerrainType.Field, False,0
15,28, TerrainType.Field, False,0
15,29, TerrainType.Field, False,0
15,30, TerrainType.River, False,0
16,1, TerrainType.Field, False,0
16,2, TerrainType.Field, False,0
16,3, TerrainType.Forest, False,0
16,4, TerrainType.Forest, False,0
16,5, TerrainType.Field, False,0
16,6, TerrainType.Field, False,0
16,7, TerrainType.Field, False,0
16,8, TerrainType.Field, False,0
16,9, TerrainType.Field, False,0
16,10, TerrainType.Field, False,0
16,11, TerrainType.Field, False,0
16,12, TerrainType.Field, False,0
16,13, TerrainType.Field, False,0
16,14, TerrainType.Field, False,0
16,15, TerrainType.Field, False,0
16,16, TerrainType.Field, False,0
16,17, TerrainType.Field, False,0
16,18, TerrainType.Field, False,0
16,19, TerrainType.Field, False,0
16,20, TerrainType.Field, False,0
16,21, TerrainType.Field, False,0
16,22, TerrainType.Field, False,0
16,23, TerrainType.Field, False,0
16,24, TerrainType.Field, False,0
16,25, TerrainType.Field, False,0
16,26, TerrainType.Field, False,0
16,27, TerrainType.Field, False,0
16,28, TerrainType.Field, False,0
16,29, TerrainType.River, False,0
16,30, TerrainType.Field, False,0
17,1, TerrainType.Field, False,0
17,2, TerrainType.Field, False,0
17,3, TerrainType.Field, False,0
17,4, TerrainType.Field, False,0
17,5, TerrainType.Field, False,0
17,6, TerrainType.Field, False,0
17,7, TerrainType.Field, False,0
17,8, TerrainType.Field, False,0
17,9, TerrainType.Field, False,0
17,10, TerrainType.Field, False,0
17,11, TerrainType.Field, False,0
17,12, TerrainType.Field, False,0
17,13, TerrainType.Field, False,0
17,14, TerrainType.Field, False,0
17,15, TerrainType.Field, False,0
17,16, TerrainType.Field, False,0
17,17, TerrainType.Field, False,0
17,18, TerrainType.Field, False,0
17,19, TerrainType.Field, False,0
17,20, TerrainType.Field, False,0
17,21, TerrainType.Field, False,0
17,22, TerrainType.Field, False,0
17,23, TerrainType.Field, False,0
17,24, TerrainType.Field, False,0
17,25, TerrainType.Field, False,0
17,26, TerrainType.Field, False,0
17,27, TerrainType.River, False,0
17,28, TerrainType.River, False,0
17,29, TerrainType.River, False,0
17,30, TerrainType.Field, False,0
18,1, TerrainType.Field, False,0
18,2, TerrainType.Field, False,0
18,3, TerrainType.Field, False,0
18,4, TerrainType.Field, False,0
18,5, TerrainType.Field, False,0
18,6, TerrainType.Field, False,0
18,7, TerrainType.Field, False,0
18,8, TerrainType.Field, False,0
18,9, TerrainType.Field, False,0
18,10, TerrainType.Field, False,0
18,11, TerrainType.Field, False,0
18,12, TerrainType.Field, False,0
18,13, TerrainType.Field, False,0
18,14, TerrainType.Field, False,0
18,15, TerrainType.Field, False,0
18,16, TerrainType.Field, False,0
18,17, TerrainType.Field, False,0
18,18, TerrainType.Field, False,0
18,19, TerrainType.Field, False,0
18,20, TerrainType.Field, False,0
18,21, TerrainType.Field, False,0
18,22, TerrainType.Field, False,0
18,23, TerrainType.Field, False,0
18,24, TerrainType.Field, False,0
18,25, TerrainType.Field, False,0
18,26, TerrainType.River, False,0
18,27, TerrainType.River, False,0
18,28, TerrainType.Field, False,0
18,29, TerrainType.Field, False,0
18,30, TerrainType.Field, False,0
19,1, TerrainType.Field, False,0
19,2, TerrainType.Field, False,0
19,3, TerrainType.Field, False,0
19,4, TerrainType.Field, False,0
19,5, TerrainType.Field, False,0
19,6, TerrainType.Field, False,0
19,7, TerrainType.Field, False,0
19,8, TerrainType.Field, False,0
19,9, TerrainType.Field, False,0
19,10, TerrainType.Field, False,0
19,11, TerrainType.Field, False,0
19,12, TerrainType.Field, False,0
19,13, TerrainType.Field, False,0
19,14, TerrainType.Field, False,0
19,15, TerrainType.Field, False,0
19,16, TerrainType.Field, False,0
19,17, TerrainType.Field, False,0
19,18, TerrainType.Field, False,0
19,19, TerrainType.Field, False,0
19,20, TerrainType.Field, False,0
19,21, TerrainType.Field, False,0
19,22, TerrainType.Field, False,0
19,23, TerrainType.Field, False,0
19,24, TerrainType.Field, False,0
19,25, TerrainType.Field, False,0
19,26, TerrainType.River, False,0
19,27, TerrainType.River, False,0
19,28, TerrainType.Field, False,0
19,29, TerrainType.Field, False,0
19,30, TerrainType.Field, False,0
20,1, TerrainType.Field, False,0
20,2, TerrainType.Field, False,0
20,3, TerrainType.Field, False,0
20,4, TerrainType.Field, False,0
20,5, TerrainType.Field, False,0
20,6, TerrainType.Field, False,0
20,7, TerrainType.Field, False,0
20,8, TerrainType.Field, False,0
20,9, TerrainType.Field, False,0
20,10, TerrainType.Field, False,0
20,11, TerrainType.Field, False,0
20,12, TerrainType.Field, False,0
20,13, TerrainType.Field, False,0
20,14, TerrainType.Field, False,0
20,15, TerrainType.Field, False,0
20,16, TerrainType.Field, False,0
20,17, TerrainType.Field, False,0
20,18, TerrainType.Field, False,0
20,19, TerrainType.Field, False,0
20,20, TerrainType.Field, False,0
20,21, TerrainType.Field, False,0
20,22, TerrainType.Field, False,0
20,23, TerrainType.Field, False,0
20,24, TerrainType.Field, False,0
20,25, TerrainType.Field, False,0
20,26, TerrainType.River, False,0
20,27, TerrainType.River, False,0
20,28, TerrainType.Field, False,0
20,29, TerrainType.Field, False,0
20,30, TerrainType.River, False,0
21,1, TerrainType.Field, False,0
21,2, TerrainType.Field, False,0
21,3, TerrainType.Field, False,0
21,4, TerrainType.Field, False,0
21,5, TerrainType.Field, False,0
